Sample ID,Genotype,Phenotype,Timepoint
1,A323,HighChill,0
2,A323,HighChill,0
3,A318,HighChill,0
4,A323,HighChill,0
5,A209,LowChill,0
6,A209,LowChill,0
7,A323,HighChill,0
8,A209,LowChill,0
9,A209,LowChill,0
11,A340,LowChill,0
12,A340,LowChill,0
13,A318,HighChill,0
14,A340,LowChill,0
15,A340,LowChill,0
16,A318,HighChill,0
18,A318,HighChill,100
19,A318,HighChill,100
20,A318,HighChill,100
21,A209,LowChill,100
22,A209,LowChill,100
23,A209,LowChill,100
24,A209,LowChill,100
25,A323,HighChill,100
26,A323,HighChill,100
27,A323,HighChill,100
28,A340,LowChill,100
29,A340,LowChill,100
30,A340,LowChill,100
31,A340,LowChill,100
32,A209,LowChill,600
33,A209,LowChill,600
34,A209,LowChill,600
35,A209,LowChill,600
36,A318,HighChill,600
37,A318,HighChill,600
38,A318,HighChill,600
39,A318,HighChill,600
40,A323,HighChill,600
42,A323,HighChill,600
43,A323,HighChill,600
44,A340,LowChill,600
45,A340,LowChill,600
46,A340,LowChill,600
47,A340,LowChill,600
48,A209,LowChill,preBloom-early
49,A209,LowChill,preBloom-early
50,A209,LowChill,preBloom-early
51,A209,LowChill,preBloom-early
52,A318,HighChill,1000
53,A318,HighChill,1000
54,A318,HighChill,1000
55,A318,HighChill,1000
56,A323,HighChill,1000
57,A323,HighChill,1000
58,A323,HighChill,1000
59,A323,HighChill,1000
60,A340,LowChill,preBloom-early
61,A340,LowChill,preBloom-early
62,A340,LowChill,preBloom-early
63,A340,LowChill,preBloom-early
64,A323,HighChill,preBloom-late
65,A323,HighChill,preBloom-late
66,A323,HighChill,preBloom-late
67,A323,HighChill,preBloom-late
68,A318,HighChill,preBloom-late
69,A318,HighChill,preBloom-late
70,A318,HighChill,preBloom-late
71,A318,HighChill,preBloom-late
72,A323,HighChill,100
