SampleName,Genotype,Phenotype,Timepoint
Sample11,A340,LowChill,0
Sample12,A340,LowChill,0
Sample13,A318,HighChill,0
Sample14,A340,LowChill,0
Sample15,A340,LowChill,0
Sample16,A318,HighChill,0
Sample18,A318,HighChill,100
Sample19,A318,HighChill,100
Sample1,A323,HighChill,0
Sample20,A318,HighChill,100
Sample21,A209,LowChill,100
Sample22,A209,LowChill,100
Sample23,A209,LowChill,100
Sample24,A209,LowChill,100
Sample25,A323,HighChill,100
Sample26,A323,HighChill,100
Sample27,A323,HighChill,100
Sample28,A340,LowChill,100
Sample29,A340,LowChill,100
Sample2,A323,HighChill,0
Sample30,A340,LowChill,100
Sample31,A340,LowChill,100
Sample32,A209,LowChill,600
Sample33,A209,LowChill,600
Sample34,A209,LowChill,600
Sample35,A209,LowChill,600
Sample36,A318,HighChill,600
Sample37,A318,HighChill,600
Sample38,A318,HighChill,600
Sample39,A318,HighChill,600
Sample3,A318,HighChill,0
Sample40,A323,HighChill,600
Sample42,A323,HighChill,600
Sample43,A323,HighChill,600
Sample44,A340,LowChill,600
Sample45,A340,LowChill,600
Sample46,A340,LowChill,600
Sample47,A340,LowChill,600
Sample48,A209,LowChill,preBloom_early
Sample49,A209,LowChill,preBloom_early
Sample4,A323,HighChill,0
Sample50,A209,LowChill,preBloom_early
Sample51,A209,LowChill,preBloom_early
Sample52,A318,HighChill,1000
Sample53,A318,HighChill,1000
Sample54,A318,HighChill,1000
Sample55,A318,HighChill,1000
Sample56,A323,HighChill,1000
Sample57,A323,HighChill,1000
Sample58,A323,HighChill,1000
Sample59,A323,HighChill,1000
Sample5,A209,LowChill,0
Sample60,A340,LowChill,preBloom_early
Sample61,A340,LowChill,preBloom_early
Sample62,A340,LowChill,preBloom_early
Sample63,A340,LowChill,preBloom_early
Sample64,A323,HighChill,preBloom_late
Sample65,A323,HighChill,preBloom_late
Sample66,A323,HighChill,preBloom_late
Sample67,A323,HighChill,preBloom_late
Sample68,A318,HighChill,preBloom_late
Sample69,A318,HighChill,preBloom_late
Sample6,A209,LowChill,0
Sample70,A318,HighChill,preBloom_late
Sample71,A318,HighChill,preBloom_late
Sample72,A323,HighChill,100
Sample7,A323,HighChill,0
Sample8,A209,LowChill,0
Sample9,A209,LowChill,0
