"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"pacId"	"transcriptName"	"peptideName"	"Pfam"	"Panther"	"KOG"	"KEGG.ec"	"KO"	"GO"	"Best.hit.arabi.name"	"arabi.symbol"	"arabi.defline"
"Prupe.1G000400"	338.301084726362	-0.99448566909221	0.339924408200215	-2.92560829732021	0.00343783495538654	0.0208153673655312	32114906	"Prupe.1G000400.1"	"Prupe.1G000400.1.p"	"PF00481"	"PTHR13832,PTHR13832:SF329"	"KOG0698"	"3.1.3.16"	"K17506"	"GO:0003824,GO:0006470,GO:0004722"	"AT4G28400.1"	""	"Protein phosphatase 2C family protein"
"Prupe.1G000800"	112.41281161326	-0.61364111433032	0.225939521679939	-2.71595296727055	0.00660853054935217	0.0353810024101226	32111851	"Prupe.1G000800.1"	"Prupe.1G000800.1.p"	"PF09229"	"PTHR13009,PTHR13009:SF5"	""	""	""	"GO:0051087,GO:0001671"	"AT5G58110.1"	""	"chaperone binding;ATPase activators"
"Prupe.1G002100"	49.6991578041335	-1.56072765580545	0.334560704853931	-4.66500588132987	3.08608212010916e-06	4.64531769831065e-05	32111457	"Prupe.1G002100.1"	"Prupe.1G002100.1.p"	"PF03040"	"PTHR33650,PTHR33650:SF1"	""	""	""	"GO:0016021"	"AT4G31040.1"	""	"CemA-like proton extrusion protein-related"
"Prupe.1G003300"	1206.17155063878	0.584926350198959	0.189712154267646	3.08323076324221	0.00204766303281805	0.0136372483081663	32115893	"Prupe.1G003300.1"	"Prupe.1G003300.1.p"	"PF02803,PF00108"	"PTHR18919,PTHR18919:SF93"	""	"2.3.1.16"	"K07513"	"GO:0016747,GO:0008152"	"AT2G33150.1"	"KAT2,PED1,PKT3"	"peroxisomal 3-ketoacyl-CoA thiolase 3"
"Prupe.1G003500"	9.95393355065123	3.94879534845768	0.782157663793091	5.04859254246505	4.45076860642869e-07	8.1368360357744e-06	32116805	"Prupe.1G003500.1"	"Prupe.1G003500.1.p"	"PF13632"	"PTHR13301,PTHR13301:SF35"	""	"2.4.2.24"	""	""	"AT2G33100.1"	"ATCSLD1,CSLD1"	"cellulose synthase-like D1"
"Prupe.1G004800"	836.129420284976	1.57196135726362	0.258175437081894	6.08873320805103	1.1380758554044e-09	3.61619374756298e-08	32116447	"Prupe.1G004800.1"	"Prupe.1G004800.1.p"	"PF00070,PF02852"	"PTHR22912,PTHR22912:SF106"	""	"1.8.1.7"	"K00383"	"GO:0055114,GO:0016491,GO:0045454"	"AT3G24170.2"	"ATGR1,GR1"	"glutathione-disulfide reductase"
"Prupe.1G005600"	62.3385085144254	-1.455483985989	0.507815114700037	-2.86616909157724	0.00415472263108359	0.0243146784783472	32111966	"Prupe.1G005600.1"	"Prupe.1G005600.1.p"	""	""	""	""	""	""	""	""	""
"Prupe.1G006100"	113.565613598742	1.03999481632796	0.265851284246399	3.91194204412441	9.15568864767277e-05	0.000963812658580975	32116726	"Prupe.1G006100.1"	"Prupe.1G006100.1.p"	"PF00569,PF13920"	"PTHR15898,PTHR15898:SF1"	""	""	""	"GO:0008270"	"AT3G24800.1"	"PRT1"	"proteolysis 1"
"Prupe.1G006400"	180.646119289383	0.798201019675203	0.253342655693945	3.15067755759015	0.00162892212189786	0.0112609056125498	32112234	"Prupe.1G006400.1"	"Prupe.1G006400.1.p"	"PF00173"	"PTHR19359,PTHR19359:SF26"	"KOG0537"	""	""	""	"AT2G32720.1"	"ATCB5-B,B5 "	""
"Prupe.1G008300"	59.8091067414257	-3.42157907338803	0.477246528502256	-7.1694163687811	7.53181623794804e-13	3.81574551000124e-11	32120547	"Prupe.1G008300.1"	"Prupe.1G008300.1.p"	"PF00179"	"PTHR24068"	"KOG0417"	"6.3.2.19"	"K06689"	""	"AT5G53300.1"	"UBC10"	"ubiquitin-conjugating enzyme 10"
